Trajectories
100
,,Patient 1:Tempe_D,,,Patient 1:Tempe_G,,,Patient 1:AR_Tete_G,,,Patient 1:AR_Tete_D,,,Patient 1:epaule_D,,,Patient 1:epaule_G,,,Patient 1:coude_D,,,Patient 1:poignet_D,,,Patient 1:majeur_D,,,Patient 1:coude_G,,,Patient 1:poignet_G,,,Patient 1:majeur_G,,,Patient 1:entre_homoplate,,,Patient 1:cheville_D,,,Patient 1:cheville_G,,,Patient 1:orteil_D,,,Patient 1:orteil_G,,,Patient 1:2AR_Tete_D,,,Patient 1:2AR_Tete_G,,,Patient 1:2coude_D,,,Patient 1:2poignet_D,,,Patient 1:2coude_G,,,Patient 1:2poignet_G,,,Patient 1:2epaule_D,,,Patient 1:2epaule_G,,,Patient 1:2Tempe_D,,,Patient 1:2Temps_G,,,Patient 1:2entre_homoplate,,,Patient 1:2majeur_D,,,Patient 1:2majeur_G,,,Patient 1:2cheville_D,,,Patient 1:2orteil_D,,,Patient 1:2cheville_G,,,Patient 1:2orteil_G,,,Patient 1:hanche_D,,,Patient 1:hanche_G,,,Patient 1:quadri_D,,,Patient 1:quadri_G,,,Patient 1:genou_D,,,Patient 1:genou_G,,,Patient 1:2hanche_D,,,Patient 1:2hanche_G,,,Patient 1:2quadri_D,,,Patient 1:2genou_D,,,Patient 1:2quadri_G,,,Patient 1:2genou_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,46.1847,1232.2,1024.43,161.696,1240.9,1034.08,160.739,1382.36,1025.75,27.22,1392.5,1013.01,-30.2306,1299.69,849.822,241.91,1376.97,840.804,-115.376,1162.49,556.585,51.8662,1004.37,484.198,106.747,988.794,468.909,328.037,1266.78,517.336,249.147,1060.23,487.286,211.036,1021.09,479.117,66.7886,1434.91,792.07,-4.71319,579.341,46.7894,474.581,755.05,32.5614,-7.73071,446.425,-34.5043,525.171,642.014,-44.7705,659.08,-495.073,1011.38,559.793,-599.319,1001.55,863.537,-454.765,510.343,695.146,-290.23,488.224,320.826,-552.65,498.727,428.185,-335.35,478.55,759.716,-499.903,819.935,427.879,-557.411,817.959,542.22,-406.948,1041.65,459.249,-503.067,1037.41,619.7,-673.234,799.312,650.243,-255.167,515.248,449.474,-281.995,512.544,752.578,105.694,61.0877,724.616,264.064,-19.4455,262.362,10.6895,65.6413,214.038,160.905,-12.3807,23.8446,1326.67,475.105,105.412,1352.19,465.19,-54.3739,963.741,419.741,353.019,1070.81,424.373,-17.9839,742.506,378.1,441.137,870.444,386.503,660.671,-573.942,392.677,558.099,-587.363,390.536,742.328,-254.739,462.82,747.268,36.2486,399.331,360.528,-300.798,459.193,307.523,-39.4227,449.8
2,0,46.1549,1232.13,1024.44,161.726,1240.64,1034.23,160.635,1382.38,1025.78,27.2223,1392.34,1012.86,-30.2365,1299.73,849.787,241.897,1376.97,840.814,-115.446,1162.49,556.573,51.8643,1004.4,484.238,106.745,988.74,468.921,328.036,1266.73,517.337,249.124,1060.23,487.268,211.008,1021.06,479.067,66.7877,1434.94,792.123,-4.72417,579.353,46.8151,474.563,755.062,32.5603,-7.7553,446.427,-34.4685,525.176,642.02,-44.7547,658.854,-495.098,1011.38,559.523,-599.354,1001.55,863.566,-454.813,510.424,695.106,-290.223,488.251,320.803,-552.66,498.694,428.15,-335.351,478.574,759.625,-499.972,819.979,427.823,-557.445,817.931,542.095,-406.926,1041.63,459.063,-503.064,1037.4,619.616,-673.226,799.27,650.15,-255.16,515.2,449.182,-282.326,512.672,752.557,105.634,61.094,724.599,264.055,-19.4682,262.363,10.6956,65.6662,214.051,160.917,-12.4071,23.8622,1326.58,475.073,105.401,1352.21,465.21,-54.4003,963.739,419.775,353.022,1070.81,424.377,-18.0331,742.486,378.138,441.112,870.441,386.49,660.631,-573.942,392.663,558.1,-587.367,390.539,742.321,-254.745,462.823,747.255,36.253,399.324,360.494,-300.824,459.153,307.491,-39.438,449.805
3,0,46.1997,1232.12,1024.42,161.705,1240.69,1034.24,160.569,1382.39,1025.82,27.0936,1392.24,1012.85,-30.2328,1299.71,849.805,241.895,1376.94,840.816,-115.466,1162.48,556.555,51.8533,1004.37,484.24,106.729,988.766,468.935,328.052,1266.68,517.395,249.11,1060.21,487.32,210.938,1021.02,479.033,66.7705,1434.94,792.093,-4.71351,579.341,46.7902,474.582,755.057,32.5818,-7.72932,446.377,-34.4887,525.156,642.029,-44.7768,658.497,-494.933,1011.63,559.369,-599.354,1001.59,863.511,-454.827,510.485,695.139,-290.202,488.303,320.748,-552.673,498.641,428.109,-335.295,478.525,759.528,-500.003,820.052,427.745,-557.456,817.901,541.999,-406.897,1041.62,458.876,-503.073,1037.43,619.525,-673.264,799.262,649.994,-255.134,515.134,449.134,-282.288,512.653,752.572,105.64,61.101,724.606,264.05,-19.4572,262.357,10.6799,65.651,214.049,160.907,-12.4068,23.8648,1326.58,475.068,105.412,1352.19,465.191,-54.3777,963.767,419.702,352.941,1070.76,424.409,-18.0166,742.477,378.136,441.074,870.407,386.472,660.671,-573.973,392.766,558.046,-587.332,390.539,742.279,-254.735,462.84,747.209,36.2991,399.302,360.47,-300.829,459.156,307.411,-39.4198,449.906
4,0,46.2126,1232.05,1024.4,161.778,1240.67,1034.3,160.483,1382.47,1025.85,26.9668,1392.17,1012.73,-30.2394,1299.71,849.814,241.983,1377.05,840.846,-115.477,1162.49,556.582,51.8272,1004.4,484.206,106.706,988.827,468.868,328.04,1266.69,517.422,249.078,1060.18,487.303,210.91,1021.02,478.985,66.7314,1434.94,792.095,-4.73695,579.341,46.7692,474.55,755.058,32.5446,-7.75446,446.426,-34.4689,525.137,642.001,-44.756,658.423,-494.971,1011.67,559.279,-599.342,1001.58,863.496,-454.879,510.581,695.139,-290.157,488.354,320.609,-552.942,498.82,428.077,-335.316,478.539,759.436,-500.056,820.068,427.734,-557.48,817.867,541.888,-406.931,1041.57,458.636,-503.034,1037.35,619.461,-673.267,799.244,649.904,-255.094,515.131,449.112,-282.281,512.65,752.556,105.645,61.1147,724.617,264.055,-19.4353,262.336,10.6998,65.6651,214.053,160.914,-12.412,23.847,1326.57,475.12,105.412,1352.19,465.189,-54.4052,963.738,419.718,352.923,1070.73,424.405,-18.05,742.507,378.082,441.073,870.406,386.472,660.671,-573.989,392.789,558.07,-587.329,390.532,742.256,-254.719,462.82,747.168,36.2968,399.322,360.408,-300.834,459.096,307.409,-39.3963,449.856
5,0,46.2402,1232.02,1024.4,161.949,1240.25,1034.65,160.386,1382.55,1025.87,26.8699,1392,1012.62,-30.2603,1299.7,849.817,241.873,1376.95,840.845,-115.484,1162.48,556.568,51.8061,1004.34,484.239,106.733,988.767,468.932,328.043,1266.69,517.42,249.049,1060.13,487.294,210.849,1021,478.937,66.7267,1434.94,792.095,-4.76383,579.334,46.7698,474.548,755.016,32.5448,-7.77275,446.41,-34.4622,525.151,642.027,-44.7427,658.347,-494.991,1011.71,559.184,-599.4,1001.57,863.483,-454.859,510.651,695.077,-290.116,488.37,320.544,-552.967,498.791,428.07,-335.303,478.423,759.368,-500.107,820.091,427.686,-557.479,817.851,541.768,-406.907,1041.55,458.459,-502.994,1037.31,619.407,-673.259,799.209,649.378,-255.137,514.838,449.102,-282.272,512.679,752.571,105.652,61.1217,724.605,264.047,-19.453,262.335,10.7005,65.665,214.018,160.894,-12.3988,23.8438,1326.58,475.127,105.412,1352.19,465.19,-54.4002,963.73,419.697,352.922,1070.72,424.423,-18.0691,742.545,378.077,441.019,870.392,386.472,660.659,-573.944,392.79,558.072,-587.333,390.536,742.24,-254.703,462.825,747.13,36.3367,399.336,360.404,-300.834,459.092,307.38,-39.4227,449.861
6,0,46.2795,1231.94,1024.41,162.07,1240.15,1034.79,160.344,1382.51,1025.78,26.7898,1391.94,1012.59,-30.2573,1299.72,849.795,241.849,1376.93,840.839,-115.496,1162.48,556.546,51.7781,1004.37,484.218,106.734,988.738,468.914,328.021,1266.66,517.378,249.032,1060.16,487.282,210.836,1021,478.893,66.7195,1434.88,792.064,-4.73796,579.341,46.7694,474.569,755.006,32.6222,-7.75364,446.379,-34.4539,525.145,641.998,-44.7629,658.067,-495.23,1011.33,559.114,-599.456,1001.56,863.458,-454.835,510.696,695.038,-290.109,488.402,320.557,-552.948,498.738,428.053,-335.311,478.461,759.316,-500.121,820.117,427.539,-557.665,817.867,541.663,-406.912,1041.52,458.359,-502.947,1037.25,619.352,-673.295,799.179,649.54,-255.099,514.9,449.084,-282.265,512.66,752.557,105.645,61.1151,724.579,264.047,-19.4778,262.301,10.6952,65.6664,214.05,160.913,-12.4127,23.8447,1326.58,475.125,105.394,1352.2,465.231,-54.4237,963.751,419.624,352.909,1070.67,424.462,-18.1377,742.49,378.107,440.982,870.431,386.485,660.669,-573.981,392.782,558.112,-587.324,390.541,742.217,-254.713,462.819,747.107,36.3342,399.31,360.356,-300.839,459.063,307.356,-39.4051,449.884
7,0,46.3587,1231.93,1024.43,162.323,1239.69,1035.14,160.228,1382.69,1025.98,26.6461,1391.95,1012.58,-30.2558,1299.71,849.787,241.832,1376.93,840.832,-115.491,1162.49,556.582,51.7552,1004.33,484.244,106.707,988.752,468.931,327.994,1266.65,517.414,248.996,1060.14,487.287,210.761,1021,478.834,66.7002,1434.9,792.093,-4.77404,579.346,46.795,474.473,755.081,32.54,-7.77201,446.408,-34.4617,525.113,641.975,-44.7929,657.89,-495.228,1011.34,559.01,-599.447,1001.54,863.449,-454.775,510.684,695.042,-290.107,488.407,320.557,-552.944,498.706,428.074,-335.297,478.411,759.266,-500.14,820.111,427.534,-557.701,817.829,541.523,-406.956,1041.51,458.193,-502.91,1037.21,619.304,-673.295,799.126,649.099,-255.102,514.663,449.107,-282.206,512.653,752.532,105.652,61.081,724.592,264.05,-19.4542,262.296,10.6863,65.6746,214.018,160.893,-12.3978,23.8451,1326.58,475.124,105.393,1352.2,465.233,-54.4465,963.744,419.648,352.866,1070.68,424.5,-18.1531,742.494,378.119,440.935,870.368,386.487,660.661,-573.938,392.779,558.114,-587.327,390.544,742.191,-254.703,462.842,747.085,36.3605,399.297,360.36,-300.794,459.091,307.341,-39.4038,449.885
8,0,46.3459,1231.87,1024.5,162.554,1239.41,1035.34,160.148,1382.77,1025.95,26.5639,1391.93,1012.56,-30.2805,1299.7,849.807,241.812,1376.96,840.849,-115.479,1162.48,556.556,51.7485,1004.34,484.226,106.678,988.828,468.867,327.973,1266.6,517.448,248.983,1060.13,487.331,210.727,1021,478.784,66.6524,1434.91,792.098,-4.75554,579.313,46.8,474.526,755.008,32.5548,-7.75367,446.379,-34.4544,525.14,641.986,-44.8007,657.724,-495.214,1011.34,558.89,-599.46,1001.51,863.447,-454.749,510.749,695.02,-290.013,488.46,320.612,-552.942,498.658,427.985,-335.3,478.448,759.262,-500.129,820.153,427.479,-557.737,817.844,541.445,-406.927,1041.46,458.092,-502.878,1037.12,619.294,-673.293,799.109,648.972,-255.04,514.61,449.14,-282.195,512.674,752.569,105.675,61.101,724.594,264.057,-19.476,262.297,10.6897,65.6706,214.049,160.913,-12.4106,23.7719,1326.62,475.177,105.389,1352.18,465.258,-54.4446,963.749,419.648,352.862,1070.63,424.52,-18.1455,742.513,378.076,440.909,870.366,386.476,660.658,-573.937,392.784,558.1,-587.281,390.548,742.177,-254.683,462.83,747.083,36.3637,399.366,360.39,-300.803,459.088,307.297,-39.4627,449.848
9,0,46.3867,1231.83,1024.54,162.669,1239.47,1035.34,160.143,1382.77,1025.92,26.5671,1391.85,1012.51,-30.2809,1299.69,849.807,241.812,1376.96,840.85,-115.513,1162.48,556.564,51.745,1004.33,484.226,106.679,988.754,468.888,327.952,1266.63,517.436,248.96,1060.1,487.324,210.694,1020.98,478.782,66.655,1434.91,792.1,-4.75465,579.312,46.8,474.531,754.986,32.5744,-7.75286,446.378,-34.4536,525.138,641.985,-44.7663,657.622,-495.236,1011.38,558.795,-599.524,1001.51,863.43,-454.727,510.817,695.008,-290.017,488.451,320.611,-552.929,498.645,428.093,-335.242,478.436,759.248,-500.118,820.162,427.498,-557.717,817.803,541.338,-406.964,1041.42,457.999,-502.84,1037.01,619.294,-673.293,799.109,648.73,-255.01,514.456,449.162,-282.153,512.69,752.557,105.635,61.0948,724.587,264.077,-19.4955,262.302,10.6968,65.6965,214.05,160.905,-12.403,23.7536,1326.63,475.147,105.389,1352.18,465.259,-54.46,963.766,419.618,352.788,1070.59,424.506,-18.169,742.52,378.08,440.884,870.363,386.462,660.7,-573.933,392.789,558.101,-587.281,390.548,742.183,-254.688,462.852,747.093,36.3973,399.343,360.471,-300.821,459.134,307.377,-39.4303,449.836
