Trajectories
100
,,Patient 3:Tempe_D,,,Patient 3:Tempe_G,,,Patient 3:AR_Tete_G,,,Patient 3:AR_Tete_D,,,Patient 3:epaule_D,,,Patient 3:epaule_G,,,Patient 3:coude_D,,,Patient 3:poignet_D,,,Patient 3:majeur_D,,,Patient 3:coude_G,,,Patient 3:poignet_G,,,Patient 3:majeur_G,,,Patient 3:entre_homoplate,,,Patient 3:cheville_D,,,Patient 3:cheville_G,,,Patient 3:orteil_D,,,Patient 3:orteil_G,,,Patient 3:2AR_Tete_D,,,Patient 3:2AR_Tete_G,,,Patient 3:2coude_D,,,Patient 3:2poignet_D,,,Patient 3:2coude_G,,,Patient 3:2poignet_G,,,Patient 3:2epaule_D,,,Patient 3:2epaule_G,,,Patient 3:2Tempe_D,,,Patient 3:2Temps_G,,,Patient 3:2entre_homoplate,,,Patient 3:2majeur_D,,,Patient 3:2majeur_G,,,Patient 3:2cheville_D,,,Patient 3:2orteil_D,,,Patient 3:2cheville_G,,,Patient 3:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,132.784,1262.74,1123.53,259.862,1273.58,1126.41,244.093,1411.08,1079.82,118.433,1395.46,1079.09,42.7563,1293.63,904.85,321.423,1391.12,913.348,-48.6681,1209.95,613.983,81.668,1073.3,516.392,125.927,1045.66,524.679,450.002,1362.34,602.315,412.085,1183.53,514.539,392.631,1132.63,519.388,152.227,1467.78,843.978,151.349,799.424,49.6121,478.575,893.361,42.9598,187.227,668.12,-17.1913,478.455,764.746,-22.2443,845.153,-451.701,1014.48,732.528,-466.468,1026.29,1012.62,-297.995,607.993,887.808,-152.894,482.957,526.807,-443.104,614.992,538.334,-256.301,481.903,886.033,-311.864,874.048,637.002,-405.075,890.165,846.456,-310.481,1083.49,710.456,-314.582,1103.63,792.909,-506.704,831.744,843.959,-124.419,491.396,553.208,-213.365,488.802,778.091,188.397,38.3875,763.725,311.919,-25.4866,465.419,106.172,42.3221,427.408,221.358,-22.1211
2,0,132.886,1262.31,1123.24,260.041,1273.25,1126.02,243.942,1410.94,1079.73,118.331,1395.21,1079.23,42.4885,1293.9,904.675,320.997,1391.53,913.292,-48.7423,1210.18,613.772,81.5796,1073.44,516.356,125.832,1045.8,524.583,449.867,1362.54,602.354,412.045,1183.72,514.553,392.576,1132.78,519.452,152.039,1468.14,843.816,151.319,799.409,49.6186,478.581,893.359,42.9861,187.229,668.126,-17.1663,478.455,764.752,-22.2514,845.021,-451.645,1014.33,732.301,-466.181,1026.34,1013.37,-297.766,608.461,888.058,-153.331,482.915,526.78,-443.11,615.1,538.253,-256.451,481.838,885.991,-311.775,874.135,636.934,-404.959,890.181,846.651,-310.369,1083.36,710.689,-314.333,1103.7,792.809,-506.651,831.838,843.989,-124.873,491.459,553.071,-213.508,488.738,778.076,188.29,38.3524,763.629,311.945,-25.5706,465.389,106.191,42.3246,427.407,221.33,-22.1457
3,0,133.009,1261.88,1122.9,260.236,1272.83,1125.57,243.785,1410.79,1079.66,118.186,1395,1079.48,42.2408,1294.16,904.542,320.591,1391.96,913.307,-48.8903,1210.54,613.645,81.5093,1073.61,516.271,125.741,1045.98,524.53,449.724,1362.76,602.444,412.054,1183.96,514.588,392.544,1132.99,519.444,151.81,1468.41,843.627,151.339,799.462,49.6273,478.584,893.409,42.9386,187.227,668.12,-17.1904,478.455,764.746,-22.2447,844.902,-451.594,1014.16,732.156,-465.912,1026.32,1014.02,-297.659,608.863,888.357,-153.789,482.923,526.617,-443.249,615.198,538.184,-256.619,481.773,885.989,-311.784,874.183,636.891,-404.804,890.167,846.779,-310.355,1083.2,710.866,-314.132,1103.72,792.662,-506.542,831.889,843.993,-125.203,491.566,552.932,-213.718,488.642,778.018,188.357,38.425,763.62,311.956,-25.5696,465.35,106.165,42.3015,427.453,221.631,-22.0935
4,0,133.159,1261.49,1122.63,260.467,1272.63,1125.05,243.631,1410.72,1079.65,118.012,1394.69,1079.72,41.9337,1294.39,904.322,320.243,1392.28,913.377,-49.034,1210.88,613.399,81.4984,1073.75,516.218,125.596,1046.09,524.459,449.546,1362.98,602.483,412.021,1184.19,514.647,392.494,1133.15,519.508,151.627,1468.59,843.486,151.351,799.425,49.6169,478.618,893.417,42.9671,187.217,668.149,-17.2004,478.468,764.792,-22.275,844.728,-451.544,1014.01,732.008,-465.598,1026.23,1014.61,-297.759,609.196,888.798,-154.181,482.991,526.503,-443.198,615.083,538.094,-256.738,481.679,886.014,-311.815,874.288,636.818,-404.621,890.155,846.902,-310.307,1083.08,710.973,-313.93,1103.7,792.548,-506.509,831.954,844.176,-125.732,491.584,552.832,-213.896,488.55,778.079,188.291,38.5432,763.567,311.948,-25.5709,465.304,106.12,42.3579,427.421,221.774,-22.005
5,0,133.319,1261.09,1122.47,260.67,1272.51,1124.5,243.474,1410.58,1079.59,117.947,1394.4,1079.85,41.6981,1294.56,904.133,320.042,1392.51,913.39,-49.0739,1211.3,613.063,81.375,1073.88,516.143,125.503,1046.24,524.371,449.377,1363.21,602.559,412.033,1184.42,514.757,392.486,1133.26,519.576,151.442,1468.77,843.372,151.319,799.408,49.6186,478.619,893.414,42.9705,187.215,668.143,-17.2251,478.48,764.755,-22.2379,844.558,-451.492,1013.87,731.854,-465.371,1026.13,1015.3,-297.629,609.594,889.094,-154.516,482.993,526.323,-443.183,615.07,538.013,-256.888,481.53,886.052,-311.885,874.374,636.638,-404.258,890.097,847.047,-310.323,1082.89,711.095,-313.724,1103.72,792.352,-506.471,831.977,844.278,-126.29,491.611,552.737,-214.027,488.437,777.875,188.109,38.3434,763.562,311.917,-25.5635,465.334,106.13,42.3478,427.468,221.854,-22.0512
6,0,133.303,1260.55,1122.5,260.75,1272.42,1124.13,243.279,1410.49,1079.56,117.811,1394.08,1080.06,41.4763,1294.69,903.938,319.899,1392.64,913.464,-49.1227,1211.66,612.732,81.3441,1074.06,516.04,125.374,1046.41,524.323,449.216,1363.48,602.601,412.056,1184.68,514.84,392.529,1133.43,519.625,151.3,1468.87,843.342,151.295,799.396,49.6545,478.66,893.435,42.9642,187.227,668.12,-17.1925,478.48,764.752,-22.235,844.382,-451.441,1013.79,731.695,-465.269,1026.14,1015.78,-297.676,609.815,889.356,-154.691,483.019,526.062,-443.064,615.01,537.905,-257.07,481.446,886.097,-312.027,874.438,636.474,-403.885,890.038,847.091,-310.315,1082.85,711.2,-313.492,1103.68,792.132,-506.398,832.006,844.457,-126.701,491.797,552.651,-214.223,488.342,777.82,188.125,38.3462,763.561,311.917,-25.565,465.325,106.128,42.3422,427.492,221.874,-22.0548
7,0,133.401,1260.28,1122.48,260.86,1272.35,1123.91,243.098,1410.45,1079.52,117.65,1393.74,1080.18,41.3253,1294.73,903.783,319.719,1392.68,913.493,-49.1339,1211.98,612.43,81.2994,1074.25,515.954,125.272,1046.56,524.289,449.124,1363.68,602.668,412.082,1184.87,514.908,392.507,1133.52,519.605,151.154,1468.87,843.315,151.294,799.395,49.6566,478.701,893.415,43.0052,187.227,668.12,-17.1859,478.5,764.774,-22.2407,844.185,-451.397,1013.64,731.541,-465.128,1026.05,1016.11,-297.858,609.946,889.602,-154.78,483.107,525.703,-443.047,615.091,537.821,-257.241,481.44,886.174,-312.174,874.519,636.257,-403.458,890.018,847.108,-310.282,1082.82,711.224,-313.264,1103.68,791.953,-506.376,832.088,844.652,-126.91,491.885,552.597,-214.362,488.302,777.638,188.087,38.2329,763.558,311.918,-25.5732,465.262,106.137,42.3528,427.504,221.914,-22.0483
8,0,133.586,1260.1,1122.33,260.961,1272.23,1123.76,242.955,1410.37,1079.51,117.485,1393.51,1080.28,41.1944,1294.74,903.648,319.554,1392.7,913.506,-49.2339,1212.24,612.156,81.2616,1074.42,515.828,125.159,1046.69,524.252,449.028,1363.92,602.671,412.146,1185.03,514.902,392.556,1133.59,519.693,151.024,1468.81,843.317,151.295,799.396,49.6556,478.702,893.413,43.0084,187.228,668.125,-17.1706,478.494,764.757,-22.2159,843.98,-451.38,1013.57,731.387,-464.984,1026,1016.29,-297.97,609.979,889.724,-154.877,483.053,525.511,-442.957,615.165,537.756,-257.309,481.348,886.265,-312.418,874.586,636.104,-403.016,889.953,847.057,-310.297,1082.79,711.185,-313.066,1103.67,791.759,-506.306,832.087,844.864,-127.021,491.978,552.586,-214.417,488.235,777.699,188.082,38.3582,763.561,311.916,-25.5679,465.219,106.011,42.4464,427.536,221.962,-22.0815
9,0,133.633,1259.97,1122.29,261.015,1272.16,1123.68,242.777,1410.35,1079.42,117.219,1393.37,1080.39,41.1273,1294.67,903.465,319.414,1392.64,913.482,-49.3453,1212.46,611.976,81.2378,1074.55,515.754,125.104,1046.83,524.203,448.971,1364.06,602.685,412.167,1185.18,514.947,392.609,1133.74,519.698,150.852,1468.74,843.375,151.295,799.396,49.6554,478.721,893.375,43.0297,187.227,668.121,-17.186,478.49,764.766,-22.1979,843.783,-451.295,1013.53,731.163,-464.86,1025.92,1016.35,-298.073,609.987,889.908,-154.909,483.142,525.24,-442.841,615.263,537.611,-257.46,481.333,886.362,-312.629,874.58,636.02,-402.686,890.025,846.934,-310.223,1082.84,711.113,-312.937,1103.66,791.526,-506.218,832.072,844.976,-127.114,492.006,552.548,-214.498,488.189,777.626,188.085,38.388,763.558,311.917,-25.5681,465.158,106.086,42.3974,427.564,221.966,-22.1032
