Trajectories
100
,,D12:Tempe_D,,,D12:Tempe_G,,,D12:AR_Tete_G,,,D12:AR_Tete_D,,,D12:epaule_D,,,D12:epaule_G,,,D12:coude_D,,,D12:poignet_D,,,D12:majeur_D,,,D12:coude_G,,,D12:poignet_G,,,D12:majeur_G,,,D12:entre_homoplate,,,D12:cheville_D,,,D12:cheville_G,,,D12:orteil_D,,,D12:orteil_G,,,D12:2AR_Tete_D,,,D12:2AR_Tete_G,,,D12:2coude_D,,,D12:2poignet_D,,,D12:2coude_G,,,D12:2poignet_G,,,D12:2epaule_D,,,D12:2epaule_G,,,D12:2Tempe_D,,,D12:2Temps_G,,,D12:2entre_homoplate,,,D12:2majeur_D,,,D12:2majeur_G,,,D12:2cheville_D,,,D12:2orteil_D,,,D12:2cheville_G,,,D12:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,336.062,1503.78,1110.84,451.591,1516.55,1120.16,452.156,1648.45,1056.33,318.384,1657.38,1055.62,237.243,1584.49,867.685,553.877,1607.08,874.558,141.586,1549.55,537.932,267.552,1350.36,459.522,293.098,1306.71,461.064,630.388,1559.38,541.643,518.458,1363.55,460.583,497.488,1322.32,464.75,377.325,1716.69,852.825,144.117,1082.48,26.303,662.915,1116.24,17.3609,89.243,985.095,-39.8581,709.918,1002.91,-41.5759,812.793,128.116,1067.38,715.993,40.7153,1045.07,934.607,365.874,587.452,730.325,528.334,506.337,470.986,159.565,568.03,498.129,419.689,506.468,898.709,182.151,887.356,620.599,64.6001,885.981,705.817,229.782,1117.97,613.363,125.202,1088.17,806.642,-27.8217,821.976,669.776,546.027,517.185,526.624,479.9,513.719,724.153,645.599,70.4021,668.356,781.757,-14.3337,444.9,456.155,69.9689,383.48,577.519,-12.892
2,0,336.445,1503.49,1110.83,451.816,1516.66,1120.08,451.795,1648.48,1056.17,318.168,1657.16,1055.72,237.165,1584.44,867.627,553.78,1607.08,874.596,141.536,1549.48,537.942,267.603,1350.39,459.533,293.15,1306.73,461.143,630.347,1559.43,541.721,518.583,1363.51,460.61,497.55,1322.36,464.793,377.242,1716.67,852.833,144.09,1082.48,26.3026,662.915,1116.24,17.3609,89.2134,985.074,-39.8056,709.884,1002.91,-41.5999,812.829,128.103,1067.4,715.978,40.7131,1045.09,934.615,365.868,587.466,730.358,528.276,506.429,471.002,159.569,568.062,498.126,419.684,506.455,898.7,182.181,887.367,620.604,64.6036,885.984,705.862,229.823,1117.97,613.402,125.216,1088.17,806.66,-27.8231,821.95,669.941,545.929,517.336,526.613,479.915,513.711,724.153,645.599,70.4021,668.392,781.764,-14.3261,444.891,456.15,69.9862,383.471,577.515,-12.8454
3,0,336.696,1503.26,1110.81,452.01,1516.69,1119.96,451.591,1648.49,1056.06,318.012,1656.86,1055.79,237.124,1584.41,867.634,553.743,1607.1,874.627,141.485,1549.43,537.891,267.634,1350.41,459.562,293.224,1306.73,461.206,630.357,1559.43,541.738,518.585,1363.51,460.624,497.549,1322.41,464.795,377.178,1716.63,852.805,144.091,1082.48,26.3058,662.939,1116.24,17.3279,89.2133,985.092,-39.8332,709.917,1002.91,-41.5768,812.765,128.081,1067.37,715.963,40.6893,1045.12,934.612,365.865,587.457,730.347,528.261,506.336,471.019,159.554,568.06,498.096,419.666,506.45,898.685,182.152,887.369,620.605,64.6016,885.976,705.892,229.81,1118.01,613.354,125.217,1088.22,806.654,-27.8596,821.953,669.781,546.003,517.127,526.632,479.912,513.697,724.181,645.6,70.3597,668.355,781.723,-14.3006,444.899,456.104,69.9883,383.46,577.505,-12.8593
4,0,336.928,1503.07,1110.78,452.263,1516.74,1119.84,451.483,1648.54,1056.06,317.882,1656.71,1055.86,237.086,1584.4,867.6,553.719,1607.11,874.615,141.518,1549.38,537.846,267.703,1350.41,459.559,293.261,1306.76,461.237,630.327,1559.5,541.785,518.534,1363.59,460.601,497.588,1322.41,464.807,377.079,1716.63,852.861,144.131,1082.47,26.2987,662.905,1116.24,17.3376,89.209,985.121,-39.858,709.92,1002.91,-41.57,812.77,128.062,1067.37,715.915,40.6845,1045.11,934.624,365.863,587.48,730.344,528.262,506.33,470.987,159.564,568.037,498.137,419.675,506.452,898.683,182.166,887.384,620.604,64.5482,885.966,705.9,229.759,1118.01,613.389,125.296,1088.18,806.65,-27.8463,821.943,669.954,545.904,517.239,526.612,479.907,513.659,724.186,645.615,70.4331,668.469,781.5,-13.9626,444.892,456.148,69.9861,383.482,577.492,-12.839
5,0,337.119,1502.88,1110.8,452.442,1516.72,1119.75,451.401,1648.56,1056,317.743,1656.49,1055.91,237.023,1584.4,867.585,553.599,1607.14,874.614,141.449,1549.34,537.849,267.701,1350.4,459.559,293.303,1306.78,461.334,630.301,1559.5,541.776,518.515,1363.6,460.63,497.589,1322.41,464.807,377.014,1716.59,852.835,144.131,1082.47,26.2803,662.93,1116.24,17.3721,89.2415,985.092,-39.8599,709.898,1002.92,-41.5645,812.788,128.047,1067.33,715.908,40.6833,1045.09,934.616,365.867,587.466,730.369,528.247,506.35,470.983,159.558,568.015,498.105,419.651,506.455,898.662,182.085,887.369,620.583,64.533,885.97,705.977,229.795,1117.99,613.386,125.284,1088.21,806.64,-27.8456,821.92,669.965,545.879,517.252,526.638,479.882,513.656,724.181,645.601,70.3625,668.359,781.716,-14.2861,444.891,456.144,69.9927,383.471,577.489,-12.8526
6,0,337.31,1502.74,1110.8,452.596,1516.77,1119.69,451.337,1648.6,1055.98,317.754,1656.28,1056.01,236.982,1584.37,867.594,553.571,1607.09,874.595,141.383,1549.31,537.842,267.713,1350.41,459.581,293.318,1306.77,461.346,630.235,1559.55,541.771,518.567,1363.52,460.65,497.616,1322.41,464.817,376.978,1716.6,852.832,144.116,1082.48,26.285,662.932,1116.24,17.3736,89.2371,985.092,-39.8542,709.919,1002.91,-41.5702,812.746,128.063,1067.3,715.892,40.7021,1045.08,934.62,365.86,587.471,730.346,528.262,506.333,470.986,159.561,568.012,498.144,419.654,506.436,898.674,182.084,887.399,620.606,64.5253,885.948,706.015,229.779,1118.03,613.393,125.319,1088.26,806.641,-27.8977,821.945,669.789,545.958,517.06,526.626,479.856,513.661,724.197,645.616,70.3884,668.389,781.767,-14.3321,444.891,456.143,69.993,383.456,577.508,-12.8658
7,0,337.466,1502.6,1110.81,452.663,1516.75,1119.62,451.225,1648.58,1055.91,317.599,1656.2,1055.98,236.933,1584.36,867.558,553.508,1607.12,874.619,141.456,1549.27,537.75,267.76,1350.42,459.626,293.385,1306.75,461.413,630.227,1559.53,541.812,518.524,1363.59,460.626,497.602,1322.42,464.886,376.935,1716.57,852.841,144.13,1082.47,26.2804,662.905,1116.24,17.3391,89.1935,985.093,-39.8236,709.918,1002.93,-41.5836,812.744,128.065,1067.3,715.861,40.662,1045.09,934.623,365.862,587.478,730.412,528.224,506.318,470.983,159.557,568.015,498.137,419.67,506.458,898.689,182.076,887.381,620.604,64.5252,885.948,706.033,229.746,1118.02,613.431,125.37,1088.23,806.612,-27.8935,821.932,670,545.882,517.189,526.64,479.891,513.643,724.223,645.584,70.3833,668.432,781.478,-13.9447,444.9,456.104,69.988,383.456,577.509,-12.8661
8,0,337.562,1502.51,1110.82,452.8,1516.76,1119.53,451.228,1648.56,1055.87,317.561,1656.05,1056.01,236.914,1584.37,867.533,553.494,1607.14,874.621,141.429,1549.22,537.743,267.761,1350.42,459.627,293.408,1306.81,461.444,630.147,1559.49,541.777,518.568,1363.53,460.645,497.594,1322.38,464.821,376.896,1716.57,852.841,144.144,1082.44,26.2836,662.937,1116.24,17.327,89.2186,985.096,-39.8265,709.922,1002.91,-41.5686,812.745,128.064,1067.3,715.833,40.6659,1045.08,934.632,365.797,587.493,730.401,528.218,506.287,470.984,159.558,568.014,498.137,419.638,506.438,898.675,182.071,887.378,620.602,64.5486,885.937,706.084,229.724,1118.02,613.433,125.408,1088.25,806.645,-27.9074,821.955,670.004,545.878,517.194,526.64,479.891,513.642,724.198,645.616,70.3902,668.382,781.748,-14.2828,444.9,456.103,69.9875,383.471,577.47,-12.8247
9,0,337.674,1502.44,1110.86,452.916,1516.79,1119.54,451.193,1648.57,1055.8,317.569,1655.95,1056.02,236.852,1584.34,867.533,553.441,1607.1,874.562,141.413,1549.24,537.674,267.761,1350.42,459.642,293.416,1306.78,461.472,630.143,1559.5,541.772,518.489,1363.59,460.61,497.619,1322.33,464.838,376.87,1716.53,852.813,144.118,1082.48,26.3029,662.966,1116.24,17.3608,89.2245,985.067,-39.8438,709.918,1002.93,-41.5832,812.766,128.04,1067.31,715.833,40.6665,1045.08,934.633,365.795,587.494,730.425,528.21,506.324,470.984,159.556,568.017,498.151,419.633,506.432,898.706,182.055,887.408,620.602,64.5318,885.938,706.205,229.732,1118,613.441,125.409,1088.27,806.641,-27.8987,821.946,669.865,545.946,517.039,526.653,479.849,513.655,724.195,645.583,70.4256,668.39,781.768,-14.3323,444.9,456.103,69.9877,383.468,577.484,-12.8576
