Trajectories
100
,,Patient 3:Tempe_D,,,Patient 3:Tempe_G,,,Patient 3:AR_Tete_G,,,Patient 3:AR_Tete_D,,,Patient 3:epaule_D,,,Patient 3:epaule_G,,,Patient 3:coude_D,,,Patient 3:poignet_D,,,Patient 3:majeur_D,,,Patient 3:coude_G,,,Patient 3:poignet_G,,,Patient 3:majeur_G,,,Patient 3:entre_homoplate,,,Patient 3:cheville_D,,,Patient 3:cheville_G,,,Patient 3:orteil_D,,,Patient 3:orteil_G,,,Patient 3:2AR_Tete_D,,,Patient 3:2AR_Tete_G,,,Patient 3:2coude_D,,,Patient 3:2poignet_D,,,Patient 3:2coude_G,,,Patient 3:2poignet_G,,,Patient 3:2epaule_D,,,Patient 3:2epaule_G,,,Patient 3:2Tempe_D,,,Patient 3:2Temps_G,,,Patient 3:2entre_homoplate,,,Patient 3:2majeur_D,,,Patient 3:2majeur_G,,,Patient 3:2cheville_D,,,Patient 3:2orteil_D,,,Patient 3:2cheville_G,,,Patient 3:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,210.533,969.31,1396.87,322.882,1030.3,1396.28,253.168,1149.49,1347.92,142.599,1083.56,1349.86,83.9997,1008.67,1171.98,355.635,1116.83,1185.88,24.3926,922.785,873.067,167.153,852.358,719.968,220.776,844.304,715.887,469.784,1086.4,868.042,411.898,951.516,714.387,382.445,903.059,693.741,181.711,1197.47,1119.43,214.306,658.854,63.9817,456.188,726.058,58.8496,254.516,503.608,-17.9233,477.312,573.375,-21.9401,732.351,-231.087,1295.93,621.687,-261.592,1294.72,840.199,-30.9185,856.587,732.281,71.2096,658.874,432.362,-178.112,866.114,465.651,-19.4004,678.568,767.123,-93.0683,1134.75,526.186,-202.809,1143.76,705.876,-93.6392,1360.67,570.511,-115.057,1365.61,688.343,-294.475,1092.5,674.908,92.9322,639.413,492.3,26.5075,661.678,680.177,225.789,39.5086,650.737,345.653,-25.7136,419.046,158.493,43.8276,399.199,276.953,-21.8798
2,0,211.41,968.321,1396.26,323.372,1030.06,1395.8,252.608,1149.22,1348.72,142.502,1082.48,1350.18,84.0162,1008.66,1171.87,355.561,1117.07,1185.78,24.5661,922.845,872.816,167.288,852.682,719.546,220.924,844.503,715.409,469.743,1086.53,867.962,411.921,951.473,714.453,382.288,903.091,693.699,181.609,1197.56,1119.41,214.303,658.85,63.9621,456.164,726.067,58.8421,254.521,503.604,-17.9396,477.311,573.379,-21.9441,732.363,-231.031,1295.92,621.605,-261.546,1294.75,840.143,-30.9163,856.599,732.245,71.2321,658.764,432.377,-178.118,866.111,465.648,-19.4129,678.598,767.147,-93.3429,1134.42,526.187,-202.808,1143.76,705.891,-93.6019,1360.69,570.425,-115.031,1365.66,688.306,-294.471,1092.51,674.928,92.9326,639.378,492.335,26.4404,661.668,680.255,225.857,39.6309,650.776,345.648,-25.6955,419.033,158.458,43.8358,399.194,276.944,-21.9016
3,0,212.375,967.455,1395.4,323.817,1029.94,1395.33,252.009,1149.14,1349.42,142.617,1081.27,1350.32,84.0184,1008.69,1171.69,355.507,1117.28,1185.71,24.7606,922.973,872.586,167.247,852.944,719.169,221.019,844.879,714.775,469.662,1086.62,867.884,411.837,951.433,714.523,382.082,903.038,693.691,181.487,1197.72,1119.42,214.333,658.863,63.9799,456.187,726.058,58.8491,254.509,503.619,-17.9062,477.318,573.387,-21.9437,732.369,-231.04,1295.93,621.647,-261.536,1294.77,840.078,-30.8841,856.598,732.316,71.2033,658.854,432.383,-178.163,866.136,465.617,-19.4278,678.522,767.132,-93.333,1134.41,526.175,-202.81,1143.76,705.888,-93.5386,1360.69,570.501,-115,1365.62,688.347,-294.485,1092.53,674.93,92.9275,639.368,492.22,26.4447,661.689,680.26,225.812,39.6733,650.776,345.648,-25.6951,419.026,158.472,43.7991,399.186,276.95,-21.8815
4,0,213.281,966.534,1394.66,324.326,1030.06,1395.04,251.402,1149.46,1350.08,142.144,1080.01,1350.82,84.0186,1008.7,1171.55,355.437,1117.43,1185.64,24.8476,923.219,872.331,167.23,853.287,718.685,220.865,845.239,714.096,469.608,1086.69,867.837,411.835,951.343,714.658,381.919,903.154,693.762,181.424,1197.82,1119.4,214.309,658.855,63.9815,456.188,726.058,58.8498,254.509,503.619,-17.9051,477.299,573.367,-21.9199,732.361,-230.985,1295.93,621.62,-261.492,1294.8,840.064,-30.8672,856.667,732.311,71.1952,658.818,432.399,-178.182,866.102,465.614,-19.4405,678.547,767.092,-93.3158,1134.42,526.175,-202.811,1143.76,705.888,-93.5375,1360.69,570.479,-114.957,1365.61,688.34,-294.468,1092.52,675.034,92.4464,639.036,492.22,26.3817,661.615,680.211,225.771,39.4723,650.755,345.663,-25.6825,419.066,158.437,43.8285,399.121,276.873,-21.8626
5,0,214.457,965.465,1393.84,324.869,1030.11,1394.78,250.805,1149.51,1350.89,142,1078.65,1351.13,83.9791,1008.77,1171.43,355.368,1117.59,1185.57,24.9725,923.506,872.07,167.044,853.85,717.977,220.676,845.624,713.531,469.521,1086.77,867.765,411.768,951.27,714.817,381.682,903.164,693.748,181.352,1197.9,1119.38,214.332,658.863,63.9806,456.188,726.058,58.8496,254.514,503.616,-17.9216,477.319,573.389,-21.9132,732.36,-230.983,1295.93,621.613,-261.464,1294.81,840.033,-30.8388,856.654,732.348,71.174,658.809,432.347,-178.207,866.085,465.639,-19.4282,678.524,767.083,-93.3267,1134.42,526.158,-202.824,1143.74,705.873,-93.4783,1360.69,570.433,-114.96,1365.62,688.34,-294.468,1092.51,675.031,92.4207,639.028,492.153,26.3862,661.661,680.25,225.881,39.6372,650.754,345.663,-25.682,419.035,158.457,43.8357,399.189,276.958,-21.8586
6,0,215.533,964.375,1393.16,325.323,1030.21,1394.5,250.244,1149.24,1351.42,142.034,1077.28,1351.28,83.9529,1008.86,1171.35,355.283,1117.74,1185.51,25.1035,923.932,871.794,166.852,854.31,717.335,220.406,846.284,712.65,469.459,1086.77,867.731,411.706,951.018,715.176,381.418,903.226,693.732,181.243,1198.07,1119.49,214.333,658.864,63.9803,456.188,726.058,58.8496,254.502,503.606,-17.9192,477.296,573.367,-21.9216,732.335,-230.963,1295.92,621.605,-261.465,1294.83,840.011,-30.8235,856.679,732.33,71.1434,658.78,432.355,-178.222,866.026,465.57,-19.4864,678.486,767.054,-93.3213,1134.41,526.137,-202.845,1143.73,705.806,-93.5168,1360.67,570.409,-114.883,1365.6,688.333,-294.487,1092.55,675.058,92.4403,638.999,492.119,26.3669,661.63,680.181,225.794,39.5162,650.735,345.653,-25.7097,419.025,158.473,43.7993,399.145,276.853,-21.8766
7,0,216.613,963.337,1392.32,325.796,1030.41,1394.2,249.666,1148.86,1351.8,142.247,1075.77,1351.22,83.8972,1009,1171.3,355.24,1117.82,1185.48,25.1735,924.228,871.617,166.649,855.318,716.37,219.982,846.984,711.599,469.464,1086.77,867.738,411.676,950.842,715.471,381.101,903.339,693.762,181.261,1198.17,1119.4,214.332,658.864,63.9818,456.166,726.079,58.8372,254.499,503.617,-17.9015,477.323,573.394,-21.9139,732.331,-230.919,1295.9,621.586,-261.423,1294.84,839.966,-30.7938,856.686,732.373,71.1203,658.752,432.362,-178.233,866.038,465.564,-19.4902,678.485,767.044,-93.3021,1134.43,526.122,-202.83,1143.69,705.827,-93.4106,1360.63,570.39,-114.887,1365.61,688.333,-294.488,1092.55,675.07,92.4624,638.976,492.12,26.3657,661.627,680.264,225.856,39.6398,650.755,345.665,-25.7064,419.064,158.509,43.7888,399.112,276.859,-21.9043
8,0,217.856,962.413,1391.61,326.216,1030.65,1393.87,249.035,1148.59,1352.27,142.515,1074.36,1350.93,83.8056,1009.2,1171.29,355.132,1117.9,1185.51,25.2132,924.722,871.452,166.348,856.264,715.464,219.39,847.65,710.434,469.392,1086.72,867.781,411.561,950.693,715.616,381.349,903.465,693.871,181.251,1198.27,1119.37,214.333,658.864,63.9805,456.187,726.059,58.8489,254.494,503.621,-17.8851,477.302,573.368,-21.9168,732.32,-230.92,1295.92,621.584,-261.418,1294.83,840.023,-30.7361,856.722,732.404,71.0791,658.783,432.345,-178.229,866.03,465.589,-19.4888,678.488,767.005,-93.3147,1134.45,526.114,-202.842,1143.7,705.782,-93.4188,1360.61,570.334,-114.886,1365.57,688.334,-294.477,1092.54,675.109,92.4649,638.979,492.073,26.3965,661.566,680.179,225.79,39.5142,650.756,345.638,-25.723,419.145,158.477,43.8796,399.112,276.862,-21.9064
9,0,219.341,961.471,1390.73,326.57,1030.83,1393.47,248.409,1148.2,1352.7,143.006,1072.94,1350.63,83.719,1009.39,1171.29,355.099,1117.89,1185.48,25.2752,925.141,871.319,165.823,856.91,714.59,218.965,848.272,709.363,469.35,1086.65,867.808,411.284,950.549,715.614,381.082,903.429,694.065,181.334,1198.3,1119.2,214.307,658.855,63.9816,456.147,726.102,58.824,254.495,503.622,-17.8706,477.302,573.376,-21.8977,732.317,-230.876,1295.92,621.556,-261.387,1294.88,840.006,-30.7387,856.74,732.434,71.0206,658.722,432.397,-178.189,865.94,465.5,-19.5355,678.478,767.002,-93.3147,1134.45,526.09,-202.853,1143.7,705.779,-93.3758,1360.61,570.259,-114.897,1365.59,688.321,-294.459,1092.53,675.073,92.4852,638.986,492.037,26.3857,661.538,680.169,225.784,39.5001,650.755,345.637,-25.7238,419.064,158.441,43.8331,399.2,276.956,-21.8622
