Trajectories
100
,,D12:Tempe_D,,,D12:Tempe_G,,,D12:AR_Tete_G,,,D12:AR_Tete_D,,,D12:epaule_D,,,D12:epaule_G,,,D12:coude_D,,,D12:poignet_D,,,D12:majeur_D,,,D12:coude_G,,,D12:poignet_G,,,D12:majeur_G,,,D12:entre_homoplate,,,D12:cheville_D,,,D12:cheville_G,,,D12:orteil_D,,,D12:orteil_G,,,D12:2AR_Tete_D,,,D12:2AR_Tete_G,,,D12:2coude_D,,,D12:2poignet_D,,,D12:2coude_G,,,D12:2poignet_G,,,D12:2epaule_D,,,D12:2epaule_G,,,D12:2Tempe_D,,,D12:2Temps_G,,,D12:2entre_homoplate,,,D12:2majeur_D,,,D12:2majeur_G,,,D12:2cheville_D,,,D12:2orteil_D,,,D12:2cheville_G,,,D12:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,429.75,1281.35,1392.29,545.729,1272.93,1403.6,572.42,1389.42,1318.78,444.178,1424.86,1310.12,346.337,1332.53,1139.54,658.501,1349.22,1145.29,266.173,1312.39,802.555,376.085,1162.16,630.526,407.357,1121.7,612.615,713.818,1329.03,801.282,617.963,1181.61,631.739,596.848,1138.36,618.97,485.264,1470.69,1142.04,252.835,921.559,28.5808,750.545,982.149,18.8463,201.702,818.757,-37.9987,807.523,868.053,-41.5459,801.329,195.158,1404.04,667.583,211.544,1399.69,946.741,323.849,858.244,735.714,373.818,693.013,524.841,142.12,852.902,679.368,347.125,772.782,925.342,241.122,1213.9,636.661,116.567,1212.88,805.891,344.054,1369.3,664.219,345.811,1362.8,832.96,19.3183,1159.62,677.638,381.44,694.217,748.456,376.781,774.365,808.959,600.816,76.7445,776.839,754.503,-13.1542,466.5,522.498,89.5657,437.063,687.785,-10.2091
2,0,429.867,1281.82,1392.56,545.887,1273.6,1403.83,572.259,1389.77,1318.52,444.039,1425.04,1309.88,346.314,1332.52,1139.54,658.461,1349.23,1145.29,266.123,1312.3,802.514,375.95,1162.04,630.568,407.358,1121.73,612.599,713.832,1329,801.326,617.968,1181.63,631.705,596.851,1138.37,618.994,485.231,1470.67,1142.01,252.835,921.559,28.5808,750.532,982.142,18.8438,201.702,818.757,-37.9987,807.483,868.064,-41.544,801.413,195.266,1404.07,667.652,211.668,1399.67,946.77,323.899,858.129,735.727,373.926,693.139,524.893,142.008,852.951,679.344,347.094,772.727,925.441,241.168,1213.85,636.807,116.546,1212.92,806.041,344.149,1369.19,664.233,345.917,1362.71,833.138,19.3731,1159.62,677.695,381.468,694.249,748.467,376.814,774.321,809.001,600.797,76.7624,776.839,754.503,-13.1542,466.508,522.505,89.5501,437.06,687.778,-10.2011
3,0,429.946,1282.15,1392.77,546.068,1274.33,1404.05,572.257,1390.06,1318.38,443.882,1425.22,1309.69,346.272,1332.4,1139.5,658.458,1349.24,1145.3,266.078,1312.23,802.554,376.042,1162.1,630.449,407.359,1121.67,612.619,713.852,1329.01,801.322,617.964,1181.63,631.711,596.849,1138.36,618.971,485.153,1470.62,1142.06,252.86,921.563,28.58,750.522,982.136,18.8241,201.708,818.744,-38.0178,807.526,868.083,-41.5649,801.522,195.459,1404.06,667.786,211.814,1399.65,946.836,323.949,858.055,735.74,373.799,692.905,524.944,141.996,853.021,679.342,347.058,772.728,925.553,241.192,1213.89,636.962,116.531,1212.97,806.17,344.376,1369.08,664.313,346.017,1362.65,833.343,19.4594,1159.61,677.694,381.463,694.239,748.483,376.87,774.267,809.008,600.809,76.7294,776.839,754.503,-13.1542,466.494,522.49,89.5734,437.056,687.781,-10.1987
4,0,430.056,1282.54,1392.95,546.333,1274.84,1404.33,572.224,1390.41,1318.19,443.745,1425.47,1309.46,346.248,1332.34,1139.5,658.446,1349.2,1145.29,265.906,1312.18,802.537,376.04,1162.06,630.465,407.348,1121.67,612.593,713.83,1329.05,801.3,617.963,1181.61,631.738,596.863,1138.35,618.978,485.145,1470.57,1142.06,252.875,921.552,28.5758,750.551,982.142,18.8511,201.703,818.757,-37.9992,807.485,868.066,-41.5434,801.618,195.594,1404.01,667.904,211.903,1399.64,946.859,324.026,857.942,735.74,373.392,692.365,525.016,141.945,853.102,679.37,347.089,772.702,925.696,241.271,1213.87,637.095,116.554,1213.05,806.281,344.472,1369.04,664.418,346.115,1362.58,833.516,19.5493,1159.58,677.672,381.449,694.251,748.463,376.838,774.186,809.01,600.813,76.7282,776.839,754.503,-13.1542,466.475,522.514,89.5655,437.035,687.813,-10.2023
5,0,430.131,1282.92,1393.18,546.392,1275.15,1404.46,572.172,1390.8,1318,443.687,1425.64,1309.23,346.18,1332.25,1139.53,658.419,1349.18,1145.29,265.998,1312.12,802.507,376.082,1162.13,630.435,407.348,1121.66,612.56,713.826,1329.05,801.303,617.969,1181.63,631.707,596.861,1138.35,618.969,485.085,1470.52,1142.11,252.85,921.549,28.5765,750.533,982.142,18.8446,201.683,818.742,-37.9957,807.505,868.096,-41.5356,801.784,195.766,1403.98,668.024,212.079,1399.59,946.841,324.122,857.824,735.734,373.263,692.215,525.093,141.894,853.123,679.336,347.047,772.641,925.834,241.361,1213.82,637.242,116.573,1213.14,806.317,344.565,1369.03,664.518,346.198,1362.47,833.721,19.5916,1159.58,677.637,381.44,694.243,748.438,376.886,774.173,808.993,600.823,76.7306,776.809,754.529,-13.1754,466.48,522.484,89.5741,437.039,687.793,-10.1996
6,0,430.242,1283.31,1393.27,546.511,1275.62,1404.58,572.159,1391.13,1317.84,443.624,1425.86,1309.02,346.163,1332.12,1139.56,658.379,1349.17,1145.32,265.965,1312.1,802.527,376.108,1162.13,630.418,407.339,1121.65,612.555,713.805,1328.97,801.316,617.968,1181.63,631.704,596.87,1138.36,618.935,485.027,1470.41,1142.08,252.889,921.555,28.5976,750.531,982.142,18.8436,201.667,818.737,-38.0163,807.525,868.104,-41.5063,801.994,195.9,1403.97,668.18,212.168,1399.59,946.83,324.145,857.75,735.694,373.31,692.216,525.158,141.833,853.168,679.358,347.067,772.633,926.03,241.465,1213.79,637.168,116.371,1213.39,806.5,344.719,1369,664.628,346.279,1362.42,833.893,19.6133,1159.61,677.615,381.42,694.205,748.43,376.878,774.12,809.002,600.8,76.7609,776.837,754.504,-13.1558,466.481,522.483,89.5747,437,687.778,-10.1906
7,0,430.349,1283.67,1393.42,546.742,1276.19,1404.77,572.092,1391.45,1317.7,443.554,1426.03,1308.79,346.144,1332,1139.6,658.36,1349.17,1145.31,265.947,1312,802.528,376.107,1162.13,630.419,407.317,1121.61,612.553,713.78,1329.01,801.29,617.959,1181.61,631.745,596.863,1138.35,618.977,484.994,1470.37,1142.12,252.836,921.559,28.5811,750.592,982.185,18.8523,201.667,818.737,-38.0169,807.546,868.088,-41.5356,802.172,195.971,1403.96,668.349,212.268,1399.61,946.869,324.212,857.664,735.665,373.298,692.233,525.26,141.797,853.215,679.341,347.008,772.637,926.249,241.599,1213.73,637.491,116.574,1213.34,806.735,344.957,1368.89,664.744,346.343,1362.32,834.081,19.6887,1159.59,677.615,381.419,694.203,748.418,376.9,774.094,809.013,600.829,76.7596,776.839,754.503,-13.1535,466.453,522.477,89.602,436.838,687.715,-10.2644
8,0,430.419,1284.02,1393.57,546.837,1276.71,1404.86,572.023,1391.71,1317.54,443.525,1426.09,1308.59,346.171,1331.94,1139.55,658.303,1349.29,1145.26,265.938,1311.99,802.547,376.059,1162.05,630.454,407.286,1121.61,612.494,713.74,1329.03,801.297,617.98,1181.6,631.644,596.862,1138.36,618.919,484.972,1470.39,1142.14,252.828,921.545,28.6073,750.594,982.186,18.853,201.691,818.74,-38.0393,807.525,868.095,-41.5106,802.408,195.954,1404.05,668.479,212.234,1399.64,946.852,324.241,857.53,735.631,373.266,692.19,525.374,141.712,853.24,679.333,346.99,772.61,926.43,241.728,1213.64,637.605,116.576,1213.4,806.942,345.046,1368.78,664.875,346.403,1362.29,834.222,19.6744,1159.64,677.607,381.426,694.206,748.413,376.897,774.085,809.008,600.806,76.7622,776.839,754.503,-13.1541,465.917,522.187,89.5271,436.967,687.791,-10.2167
9,0,430.463,1284.36,1393.71,546.895,1277.14,1404.96,571.954,1392,1317.39,443.528,1426.13,1308.43,346.149,1331.93,1139.6,658.311,1349.27,1145.25,265.888,1311.94,802.552,376.091,1162.13,630.346,407.27,1121.64,612.481,713.844,1329.02,801.341,617.935,1181.63,631.643,596.846,1138.37,618.895,484.912,1470.36,1142.13,252.801,921.548,28.5937,750.593,982.185,18.8527,201.687,818.753,-38.0202,807.527,868.083,-41.5637,802.62,196.004,1404.07,668.651,212.272,1399.67,946.904,324.323,857.442,735.619,373.274,692.176,525.477,141.707,853.279,679.342,346.959,772.637,926.628,241.824,1213.59,637.676,116.56,1213.46,807.035,345.042,1368.7,665.004,346.433,1362.29,834.322,19.7088,1159.64,677.618,381.424,694.199,748.422,376.854,774.079,809.014,600.808,76.7372,776.872,754.508,-13.1098,466.431,522.466,89.6089,436.988,687.803,-10.1952
