Trajectories
100
,,Patient 1:Tempe_D,,,Patient 1:Tempe_G,,,Patient 1:AR_Tete_G,,,Patient 1:AR_Tete_D,,,Patient 1:epaule_D,,,Patient 1:epaule_G,,,Patient 1:coude_D,,,Patient 1:poignet_D,,,Patient 1:majeur_D,,,Patient 1:coude_G,,,Patient 1:poignet_G,,,Patient 1:majeur_G,,,Patient 1:entre_homoplate,,,Patient 1:cheville_D,,,Patient 1:cheville_G,,,Patient 1:orteil_D,,,Patient 1:orteil_G,,,Patient 1:2AR_Tete_D,,,Patient 1:2AR_Tete_G,,,Patient 1:2coude_D,,,Patient 1:2poignet_D,,,Patient 1:2coude_G,,,Patient 1:2poignet_G,,,Patient 1:2epaule_D,,,Patient 1:2epaule_G,,,Patient 1:2Tempe_D,,,Patient 1:2Temps_G,,,Patient 1:2entre_homoplate,,,Patient 1:2majeur_D,,,Patient 1:2majeur_G,,,Patient 1:2cheville_D,,,Patient 1:2orteil_D,,,Patient 1:2cheville_G,,,Patient 1:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,164.756,1058.12,1460.63,279.682,1058.45,1478.11,294.482,1191.55,1429.44,164.178,1210.03,1403.22,97.067,1080.58,1264.44,374.475,1173.82,1250.02,18.7618,1010.93,939.271,78.4738,955.886,706.854,110.417,934.333,675.678,453.727,1143.44,898.14,432.394,1063.15,681.305,405.261,1031.78,650.152,195.886,1221.75,1218.17,47.0054,1060.34,35.8541,253.623,1123.55,26.5954,75.0264,952.887,-37.5456,290.101,1014.93,-42.4969,591.011,-333.203,1546.37,449.347,-356.525,1543.81,760.979,-216.214,1021.4,730.744,-123.686,782.089,277.676,-365.985,1016.93,260.536,-287.279,773.899,688.563,-255.389,1345.16,360.156,-358.986,1350.58,554.014,-193.512,1575.8,430.104,-218.382,1577.19,565.615,-443.068,1320.72,700.098,-87.8752,735.057,254.63,-235.356,731.696,661.671,-287.935,51.0811,646.854,-137.057,-26.1272,399.084,-359.518,55.6584,339.607,-216.619,-17.8196
2,0,164.574,1058.91,1459.88,279.325,1058.99,1478.03,294.681,1192.05,1429.21,164.658,1210.61,1402.32,97.7404,1080.15,1264.22,374.91,1174.41,1249.64,19.108,1009.91,939.254,79.4317,955.795,706.745,111.828,934.488,675.962,454.248,1144.37,897.587,432.919,1063.8,680.998,406.335,1032.53,649.774,196.092,1221.87,1218.2,47.1851,1060.32,35.7374,253.771,1123.48,26.7596,75.0857,952.87,-37.5455,290.088,1015.01,-42.5223,590.974,-333.122,1546.45,449.295,-356.752,1543.77,761.016,-216.063,1021.54,730.816,-123.457,782.243,277.77,-366.066,1016.89,260.595,-287.55,773.781,688.572,-255.458,1345.3,360.135,-359.019,1350.5,553.748,-193.528,1575.75,429.93,-218.547,1577.04,565.643,-443.095,1320.69,700.205,-87.5989,735.258,254.639,-235.546,731.64,661.679,-287.926,51.0524,646.856,-137.059,-26.1228,399.109,-359.505,55.6863,339.605,-216.62,-17.8201
3,0,164.51,1059.61,1459.3,279.06,1059.43,1477.92,294.959,1192.55,1429.04,165.076,1211.14,1401.4,98.4264,1079.82,1264.08,375.34,1174.91,1249.46,19.3227,1008.85,939.339,80.7064,955.474,706.987,113.42,934.768,676.327,454.799,1145.23,897.26,433.746,1065.06,680.455,407.055,1033.56,649.351,196.264,1222.08,1218.33,47.3821,1060.3,35.6705,253.871,1123.42,26.8655,75.1887,952.885,-37.4841,290.1,1015.06,-42.4942,591.08,-332.877,1546.74,449.423,-356.953,1543.65,761.025,-215.924,1021.65,730.894,-123.146,782.405,277.831,-366.109,1016.8,260.808,-287.876,773.57,688.526,-255.433,1345.31,360.1,-359.083,1350.45,553.495,-193.514,1575.67,429.574,-218.932,1576.99,565.62,-443.139,1320.67,700.298,-87.2703,735.48,254.917,-235.741,731.487,661.688,-287.928,51.0685,646.88,-137.059,-26.0823,399.113,-359.501,55.6834,339.608,-216.617,-17.8213
4,0,164.299,1060.35,1458.62,278.701,1059.89,1477.84,295.235,1193,1428.92,165.502,1211.83,1400.58,99.1649,1079.57,1263.9,375.807,1175.53,1249.1,19.5421,1008.05,939.337,82.1921,955.356,707.119,115.481,934.73,676.668,455.416,1146.17,897.012,434.676,1066.02,680.052,408.009,1034.69,648.866,196.407,1222.23,1218.45,47.4358,1060.33,35.6349,253.846,1123.67,26.8006,75.2235,952.887,-37.4284,290.129,1015.09,-42.4722,591.259,-332.465,1546.96,449.747,-357.24,1543.46,761.075,-215.812,1021.78,730.894,-122.971,782.566,277.862,-366.209,1016.82,260.964,-288.15,773.405,688.534,-255.487,1345.37,360.12,-359.135,1350.42,553.04,-193.447,1575.73,429.239,-219.321,1576.81,565.637,-443.167,1320.66,700.362,-87.0026,735.601,255.038,-236.011,731.302,661.671,-287.906,51.043,646.86,-137.057,-26.141,399.157,-359.452,55.7014,339.597,-216.61,-17.8446
5,0,164.154,1061.03,1458.03,278.484,1060.35,1477.87,295.482,1193.3,1428.81,165.935,1212.83,1399.86,99.9712,1079.3,1263.78,376.062,1176.18,1248.87,19.8631,1007.12,939.428,84.0711,954.918,707.529,117.642,935.027,676.957,455.723,1146.96,896.442,435.42,1067.37,679.242,408.587,1035.93,648.24,196.592,1222.39,1218.38,47.2321,1060.33,36.0114,253.889,1123.76,26.7657,75.2757,952.978,-37.4251,290.133,1015.08,-42.4661,591.448,-332.023,1547.11,450.16,-357.808,1543.36,761.053,-215.699,1021.8,730.885,-122.742,782.681,277.889,-366.271,1016.76,261.012,-288.465,773.324,688.543,-255.503,1345.4,360.119,-359.143,1350.35,552.193,-193.129,1575.71,428.526,-219.928,1576.63,565.654,-443.169,1320.63,700.188,-86.7877,735.765,255.108,-236.288,731.176,661.654,-287.897,51.0335,646.872,-137.047,-26.13,399.149,-359.404,55.666,339.596,-216.606,-17.8523
6,0,163.931,1061.72,1457.38,278.159,1060.85,1477.9,295.744,1193.59,1428.77,166.464,1213.34,1399.09,100.684,1079.02,1263.79,376.46,1176.87,1248.47,20.1048,1006.29,939.554,85.9107,954.543,708.035,120.015,934.991,677.626,456.169,1148.13,896.204,436.406,1068.75,678.451,409.478,1037.26,647.409,196.734,1222.5,1218.37,47.332,1060.33,35.8118,254.015,1123.62,26.9672,75.3531,953.031,-37.3433,290.159,1015.11,-42.4369,591.776,-331.331,1547.3,450.66,-358.378,1543.42,761.09,-215.61,1021.85,730.819,-122.476,782.816,277.743,-366.402,1016.74,261.045,-288.683,773.194,688.597,-255.552,1345.41,360.154,-359.169,1350.35,550.576,-192.632,1575.64,427.534,-220.694,1576.4,565.736,-443.182,1320.61,700.417,-86.4899,735.829,255.212,-236.538,731.05,661.731,-287.871,51.0236,646.877,-137.05,-26.1208,399.178,-359.363,55.6799,339.597,-216.599,-17.8595
7,0,163.639,1062.45,1456.75,277.847,1061.33,1478.03,296.038,1193.85,1428.9,167.029,1213.71,1398.12,101.306,1078.82,1263.81,376.755,1177.57,1248.05,20.2918,1005.44,939.739,87.899,953.95,708.561,122.293,936.111,677.72,456.551,1148.87,895.994,437.464,1070.31,677.77,410.09,1038.79,646.669,196.81,1222.68,1218.43,47.2063,1060.33,35.9581,254.059,1123.75,26.9075,75.4421,953.088,-37.338,290.17,1015.14,-42.4157,592.023,-330.454,1547.57,451.38,-358.936,1543.47,761.126,-215.53,1021.86,730.719,-122.254,782.962,278.053,-366.46,1016.71,261.043,-288.857,773.122,688.626,-255.558,1345.42,360.21,-359.162,1350.32,549.739,-192.377,1575.67,426.661,-221.546,1576.06,565.749,-443.23,1320.56,700.412,-86.1597,735.943,255.266,-236.788,730.994,661.679,-287.842,51.0389,646.856,-137.053,-26.1496,399.191,-359.355,55.6831,339.629,-216.569,-17.8568
8,0,163.303,1063.11,1456.19,277.531,1061.71,1478.19,296.373,1194.15,1428.95,167.47,1214.48,1397.51,101.989,1078.63,1263.92,377.051,1178.38,1247.69,20.6733,1004.5,939.872,89.8039,953.62,709.218,125.019,936.771,677.919,457.012,1149.91,895.422,438.392,1071.61,676.897,410.402,1040.62,645.887,196.883,1222.83,1218.44,47.1394,1060.32,36.1167,254.101,1123.82,26.9363,75.4227,953.119,-37.3438,290.186,1015.14,-42.4161,592.448,-329.075,1547.89,452.302,-359.867,1543.57,761.175,-215.416,1021.87,730.652,-121.996,782.989,278.15,-366.546,1016.72,261.097,-289.009,773.171,688.777,-255.65,1345.44,360.318,-359.181,1350.35,547.982,-191.535,1575.3,425.41,-222.672,1575.7,565.847,-443.262,1320.55,700.245,-85.9028,735.987,255.237,-236.987,730.935,661.721,-287.858,51.0177,646.9,-137.065,-26.0791,399.182,-359.332,55.6763,339.587,-216.587,-17.8611
9,0,162.963,1063.84,1455.57,276.813,1062.32,1478.2,296.64,1194.5,1429.18,168.046,1215.65,1397.16,102.75,1078.39,1264.04,377.402,1179.2,1247.34,21.1024,1003.92,940.1,91.9771,953.208,709.708,127.625,937.275,678.511,457.574,1150.68,895.123,439.298,1073.24,676.054,410.767,1042.27,644.939,196.993,1223.05,1218.48,47.0579,1060.27,36.1712,254.057,1123.94,26.9132,75.508,953.159,-37.2845,290.166,1015.18,-42.4264,592.962,-327.65,1547.93,453.412,-360.86,1543.63,761.201,-215.362,1021.86,730.57,-121.777,782.986,278.251,-366.57,1016.79,261.141,-289.162,773.25,689.088,-255.827,1345.5,360.475,-359.12,1350.37,546.187,-190.979,1575.29,423.917,-224.142,1575.35,565.942,-443.345,1320.5,700.08,-85.6126,735.983,255.221,-237.215,730.946,661.711,-287.841,51.0016,646.873,-137.063,-26.0912,399.205,-359.291,55.6663,339.571,-216.561,-17.8686
