Trajectories
100
,,D12:Tempe_D,,,D12:Tempe_G,,,D12:AR_Tete_G,,,D12:AR_Tete_D,,,D12:epaule_D,,,D12:epaule_G,,,D12:coude_D,,,D12:poignet_D,,,D12:majeur_D,,,D12:coude_G,,,D12:poignet_G,,,D12:majeur_G,,,D12:entre_homoplate,,,D12:cheville_D,,,D12:cheville_G,,,D12:orteil_D,,,D12:orteil_G,,,D12:2AR_Tete_D,,,D12:2AR_Tete_G,,,D12:2coude_D,,,D12:2poignet_D,,,D12:2coude_G,,,D12:2poignet_G,,,D12:2epaule_D,,,D12:2epaule_G,,,D12:2Tempe_D,,,D12:2Temps_G,,,D12:2entre_homoplate,,,D12:2majeur_D,,,D12:2majeur_G,,,D12:2cheville_D,,,D12:2orteil_D,,,D12:2cheville_G,,,D12:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,273.859,1348.71,1555.07,382.523,1312.22,1573.81,443.898,1440.15,1532.29,325.225,1501.6,1520.09,207.95,1443.44,1343.75,536.336,1454.62,1352.51,17.3811,1517.94,1090.6,138.766,1412.7,890.882,180.285,1394.28,883.08,702.139,1532.78,1071.96,596.196,1433.58,871.437,560.024,1412.39,876.844,365.349,1549.51,1306.41,240.287,1458.31,20.3635,495.577,1475.52,15.3276,201.181,1351.23,-42.9623,536.515,1357.13,-42.1504,753.126,86.5968,1568.62,621.245,85.0922,1576.13,871.464,323.076,1063.26,673.15,368.075,871.881,441.204,190.278,1060.84,614.44,369.66,941.987,848.706,187.348,1410.48,547.184,87.6021,1406,756.817,225.99,1637.55,613.032,210.138,1639.49,731.611,4.30058,1309.64,617.475,357.809,847.517,687.467,387.209,931.157,797.358,157.833,72.0703,830.39,301.886,-21.9097,577.598,102.753,82.1869,556.01,254.954,-15.5208
2,0,273.543,1348.86,1554.84,382.048,1312.06,1573.68,443.786,1440.05,1532.42,325.251,1501.66,1520.02,208.041,1443.5,1343.8,536.439,1454.67,1352.41,17.3331,1518.07,1090.76,138.622,1412.9,890.984,180.041,1394.54,883.196,702.063,1532.87,1071.81,596.112,1433.54,871.403,559.892,1412.48,876.815,365.439,1549.63,1306.44,240.249,1458.32,20.37,495.574,1475.51,15.3602,201.197,1351.28,-43.0035,536.488,1357.18,-42.1601,753.12,86.6602,1568.69,621.227,85.3262,1576.34,871.435,322.491,1063.17,673.365,367.411,871.785,441.195,190.067,1060.87,614.465,369.131,941.863,848.676,187.337,1410.54,547.132,87.8151,1406.19,756.828,226.226,1637.57,613.146,210.364,1639.61,731.459,4.25899,1309.99,617.59,357.101,847.267,687.516,386.587,930.924,797.367,157.743,72.1117,830.404,301.85,-21.9073,577.618,102.598,82.2642,555.942,254.8,-15.3721
3,0,273.2,1348.98,1554.57,381.547,1312.03,1573.58,443.678,1439.9,1532.51,325.21,1501.7,1519.99,208.136,1443.61,1343.81,536.503,1454.71,1352.33,17.2398,1518.16,1090.94,138.491,1413.05,890.993,179.862,1394.74,883.356,702.004,1532.96,1071.7,595.953,1433.58,871.264,559.664,1412.56,876.739,365.487,1549.71,1306.47,240.273,1458.32,20.3678,495.59,1475.53,15.3617,201.173,1351.26,-42.9996,536.488,1357.17,-42.1838,753.122,86.7715,1568.74,621.145,85.6617,1576.5,871.428,322.21,1063.07,673.485,366.596,871.543,441.212,189.733,1060.88,614.546,368.518,941.691,848.626,187.307,1410.6,547.018,87.9934,1406.36,756.915,226.408,1637.63,613.237,210.557,1639.72,731.346,4.08658,1310.32,617.69,356.313,846.994,687.544,385.938,930.737,797.363,157.598,72.2164,830.412,301.891,-21.8678,577.606,102.421,82.2845,555.98,254.924,-15.4337
4,0,272.872,1349.12,1554.35,381.172,1311.96,1573.47,443.531,1439.78,1532.59,325.225,1501.8,1519.93,208.189,1443.68,1343.84,536.595,1454.74,1352.28,17.143,1518.23,1091.09,138.401,1413.21,891.012,179.632,1394.92,883.479,701.999,1533.02,1071.57,595.782,1433.56,871.189,559.469,1412.6,876.664,365.557,1549.76,1306.47,240.25,1458.32,20.3698,495.541,1475.47,15.342,201.173,1351.26,-43.0123,536.467,1357.16,-42.1812,753.093,86.865,1568.81,621.081,85.9079,1576.62,871.587,321.652,1062.93,673.663,365.9,871.344,441.22,189.429,1060.86,614.655,367.854,941.419,848.562,187.273,1410.67,546.827,88.2337,1406.6,757.003,226.645,1637.72,613.37,210.863,1639.77,731.22,3.93458,1310.64,617.654,355.682,846.773,687.712,385.261,930.365,797.344,157.521,72.2171,830.362,301.841,-21.8724,577.598,102.293,82.3455,555.941,254.77,-15.3
5,0,272.519,1349.27,1554.15,380.844,1311.99,1573.36,443.455,1439.61,1532.65,325.211,1501.87,1519.91,208.29,1443.74,1343.83,536.621,1454.76,1352.18,17.0661,1518.31,1091.25,138.211,1413.43,891.089,179.487,1395.06,883.563,701.962,1533.06,1071.48,595.629,1433.53,871.121,559.251,1412.61,876.592,365.643,1549.87,1306.56,240.249,1458.32,20.3701,495.511,1475.47,15.3302,201.174,1351.26,-42.9954,536.496,1357.14,-42.155,753.041,86.9963,1568.88,621.02,86.2208,1576.73,871.658,320.974,1062.78,673.761,365.252,871.165,441.263,189.183,1060.86,614.805,367.311,941.143,848.463,187.304,1410.74,546.692,88.4953,1406.85,757.139,226.809,1637.74,613.452,211.181,1639.9,731.114,3.74552,1311.08,617.679,355.092,846.585,687.965,384.557,930.005,797.375,157.43,72.3071,830.361,301.839,-21.8722,577.616,102.177,82.4246,555.933,254.766,-15.2991
6,0,272.202,1349.42,1554.01,380.531,1311.91,1573.31,443.335,1439.49,1532.69,325.204,1501.95,1519.87,208.287,1443.85,1343.87,536.669,1454.78,1352.11,16.9427,1518.4,1091.42,137.966,1413.62,891.162,179.28,1395.25,883.662,701.963,1533.1,1071.43,595.443,1433.52,871.036,559.05,1412.65,876.537,365.644,1549.88,1306.56,240.225,1458.29,20.3774,495.499,1475.46,15.3511,201.173,1351.26,-42.9981,536.499,1357.16,-42.1544,752.951,87.2193,1568.92,620.943,86.535,1576.83,871.615,320.296,1062.47,673.822,364.467,870.836,441.289,188.971,1060.89,614.913,366.553,940.842,848.396,187.259,1410.81,546.527,88.7476,1407.08,757.241,226.927,1637.77,613.582,211.534,1640.05,730.906,3.65133,1311.4,617.86,354.249,846.271,688.024,384.031,929.759,797.362,157.343,72.3037,830.376,301.825,-21.8537,577.602,102.086,82.4729,555.908,254.773,-15.2306
7,0,271.945,1349.55,1553.84,380.113,1311.78,1573.22,443.205,1439.35,1532.74,325.23,1501.98,1519.88,208.294,1443.93,1343.87,536.728,1454.82,1352.06,16.8327,1518.53,1091.53,137.709,1413.86,891.188,179.135,1395.42,883.698,701.881,1533.15,1071.3,595.275,1433.52,871.018,558.827,1412.64,876.478,365.67,1550.02,1306.62,240.214,1458.31,20.4021,495.478,1475.48,15.3431,201.171,1351.26,-42.9995,536.489,1357.16,-42.157,752.837,87.464,1569,620.921,86.8013,1576.95,871.622,319.597,1062.15,673.895,363.564,870.439,441.309,188.701,1060.92,614.864,365.954,940.624,848.296,187.297,1410.88,546.442,88.9169,1407.22,757.451,227.032,1637.73,613.67,211.877,1640.12,730.737,3.51221,1311.81,618.253,353.302,845.928,688.12,383.395,929.392,797.436,157.294,72.3264,830.377,301.824,-21.8509,577.62,101.963,82.4632,555.903,254.735,-15.2077
8,0,271.71,1349.62,1553.73,379.904,1311.7,1573.11,443.122,1439.21,1532.76,325.258,1501.99,1519.87,208.313,1444,1343.84,536.689,1454.87,1352.02,16.7209,1518.64,1091.65,137.53,1414.01,891.242,178.984,1395.56,883.703,701.86,1533.18,1071.14,595.141,1433.54,870.945,558.604,1412.73,876.442,365.652,1550.07,1306.64,240.214,1458.31,20.4027,495.456,1475.47,15.3611,201.15,1351.26,-42.9921,536.478,1357.17,-42.1404,752.665,87.784,1569.1,620.878,87.097,1577.14,871.684,319.239,1062.14,674.121,362.572,870.124,441.288,188.382,1060.97,614.871,365.391,940.289,848.227,187.305,1410.93,546.261,89.1116,1407.33,757.625,227.266,1637.7,613.853,212.393,1640.22,730.512,3.37101,1312.23,618.374,352.573,845.623,688.321,382.626,928.973,797.464,157.204,72.4601,830.377,301.824,-21.8502,577.63,101.887,82.4882,555.917,254.739,-15.1869
9,0,271.553,1349.69,1553.6,379.562,1311.85,1572.99,443.022,1439.12,1532.77,325.26,1502.02,1519.87,208.308,1444.11,1343.84,536.674,1454.91,1351.97,16.6276,1518.74,1091.72,137.368,1414.21,891.256,178.803,1395.67,883.706,701.804,1533.1,1071.16,595.136,1433.55,870.903,558.407,1412.81,876.401,365.651,1550.17,1306.68,240.198,1458.28,20.4095,495.458,1475.47,15.337,201.172,1351.26,-42.9981,536.472,1357.16,-42.1519,752.632,87.9971,1569.32,620.749,87.5229,1577.43,871.763,318.616,1062.05,674.238,361.818,869.771,441.224,187.997,1060.98,615.035,364.731,939.964,848.173,187.325,1411,546.12,89.4322,1407.52,757.683,227.701,1637.53,613.983,212.849,1640.28,730.386,3.27515,1312.58,618.329,351.763,845.363,688.636,381.871,928.505,797.497,157.176,72.4471,830.377,301.822,-21.8488,577.589,101.704,82.5487,555.904,254.735,-15.2078
